Name,InChlKey,SMILES,Formula,Precursor m/z,MS/MS_m/z,MSMS spectrum,Adduct,CE,Source,NLFentanyl_C9H10NO,ProIonFentanyl_C8H9+,ProIonFentanyl_C13H18N+,MS2 feature
m-Fluorobutyrylfentanyl,BSGQPGPNNBBEEQ-UHFFFAOYSA-N,,C23H29FN2O,188.1434,"69.0696 12.69
79.0540 3.70
82.0649 2.40
84.0805 113.99
91.0540 21.48
96.0805 12.09
97.0883 5.89
103.0540 4.70
105.0697 999.00
110.0961 2.20
117.0697 17.58
120.0806 77.22
129.0698 23.58
130.0649 7.19
131.0728 4.10
132.0807 57.44
134.0963 100.50
141.0698 3.10
143.0854 11.49
146.0964 163.74
159.1168 1.80
160.1120 13.39
184.1120 19.78
185.1153 8.99
186.1276 32.17
188.1433 391.91",69.0696:12.69 79.0540:3.70 82.0649:2.40 84.0805:113.99 91.0540:21.48 96.0805:12.09 97.0883:5.89 103.0540:4.70 105.0697:999.00 110.0961:2.20 117.0697:17.58 120.0806:77.22 129.0698:23.58 130.0649:7.19 131.0728:4.10 132.0807:57.44 134.0963:100.50 141.0698:3.10 143.0854:11.49 146.0964:163.74 159.1168:1.80 160.1120:13.39 184.1120:19.78 185.1153:8.99 186.1276:32.17 188.1433:391.91,[M+H-C10H12FNO]+,NCE=35%,NIST,0,0,0,0
m-Fluorobutyrylfentanyl,BSGQPGPNNBBEEQ-UHFFFAOYSA-N,,C23H29FN2O,391.21561,"105.0697 10.29
149.0235 4.50
188.1433 128.47
189.1466 27.57
190.1504 3.60
369.2208 2.30
369.2271 2.00
390.1832 4.90
391.1833 23.68
391.2154 999.00",105.0697:10.29 149.0235:4.50 188.1433:128.47 189.1466:27.57 190.1504:3.60 369.2208:2.30 369.2271:2.00 390.1832:4.90 391.1833:23.68 391.2154:999.00,[M+Na]+,NCE=35% 27eV,NIST,0,0,0,0
m-Fluorobutyrylfentanyl,BSGQPGPNNBBEEQ-UHFFFAOYSA-N,,C23H29FN2O,391.21561,"105.0697 101.60
106.0728 14.39
146.0966 3.90
149.0233 13.69
188.1434 483.72
189.1467 106.39
190.1501 19.98
369.2121 5.49
369.2179 6.49
369.2228 7.19
391.1784 10.99
391.2155 999.00",105.0697:101.60 106.0728:14.39 146.0966:3.90 149.0233:13.69 188.1434:483.72 189.1467:106.39 190.1501:19.98 369.2121:5.49 369.2179:6.49 369.2228:7.19 391.1784:10.99 391.2155:999.00,[M+Na]+,NCE=40% 31eV,NIST,0,0,1,1
m-Fluorobutyrylfentanyl,BSGQPGPNNBBEEQ-UHFFFAOYSA-N,,C23H29FN2O,391.21561,"52.6584 7.39
57.0699 17.68
84.0806 6.69
105.0697 502.90
106.0731 73.83
134.0967 17.88
146.0966 30.07
149.0233 66.63
186.1275 11.69
188.1433 999.00
189.1468 223.48
190.1502 31.67
369.2150 30.47
391.2155 562.54",52.6584:7.39 57.0699:17.68 84.0806:6.69 105.0697:502.90 106.0731:73.83 134.0967:17.88 146.0966:30.07 149.0233:66.63 186.1275:11.69 188.1433:999.00 189.1468:223.48 190.1502:31.67 369.2150:30.47 391.2155:562.54,[M+Na]+,NCE=45% 35eV,NIST,0,0,0,0
m-Fluorobutyrylfentanyl,BSGQPGPNNBBEEQ-UHFFFAOYSA-N,,C23H29FN2O,391.21561,"84.0804 14.79
91.0538 10.29
105.0697 882.92
106.0729 120.58
134.0961 18.18
146.0965 40.26
149.0234 77.52
188.1433 999.00
189.1468 192.21
190.1505 22.28
391.2159 125.17",84.0804:14.79 91.0538:10.29 105.0697:882.92 106.0729:120.58 134.0961:18.18 146.0965:40.26 149.0234:77.52 188.1433:999.00 189.1468:192.21 190.1505:22.28 391.2159:125.17,[M+Na]+,NCE=50% 39eV,NIST,0,0,0,0
m-Fluorobutyrylfentanyl,BSGQPGPNNBBEEQ-UHFFFAOYSA-N,,C23H29FN2O,391.21561,"79.0540 38.86
84.0805 18.98
91.0539 15.08
103.0541 27.47
105.0697 999.00
106.0730 136.96
146.0964 21.88
149.0232 49.15
188.1433 291.51
189.1469 46.35
369.2179 19.38",79.0540:38.86 84.0805:18.98 91.0539:15.08 103.0541:27.47 105.0697:999.00 106.0730:136.96 146.0964:21.88 149.0232:49.15 188.1433:291.51 189.1469:46.35 369.2179:19.38,[M+Na]+,NCE=60% 46eV,NIST,0,0,0,0
m-Fluorobutyrylfentanyl,BSGQPGPNNBBEEQ-UHFFFAOYSA-N,,C23H29FN2O,391.21561,"77.0382 25.97
79.0539 104.40
91.0539 6.69
103.0539 82.02
105.0445 12.59
105.0696 999.00
106.0730 120.28
188.1434 35.66
369.2074 9.99",77.0382:25.97 79.0539:104.40 91.0539:6.69 103.0539:82.02 105.0445:12.59 105.0696:999.00 106.0730:120.28 188.1434:35.66 369.2074:9.99,[M+Na]+,NCE=75% 58eV,NIST,0,0,1,1
m-Fluorobutyrylfentanyl,BSGQPGPNNBBEEQ-UHFFFAOYSA-N,,C23H29FN2O,391.21561,"77.0383 106.09
79.0540 233.67
91.0540 19.58
103.0540 188.01
105.0445 68.73
105.0697 999.00
106.0730 131.27
149.0233 34.17
369.2220 16.38",77.0383:106.09 79.0540:233.67 91.0540:19.58 103.0540:188.01 105.0445:68.73 105.0697:999.00 106.0730:131.27 149.0233:34.17 369.2220:16.38,[M+Na]+,NCE=90% 70eV,NIST,0,0,0,0
m-Fluorobutyrylfentanyl,BSGQPGPNNBBEEQ-UHFFFAOYSA-N,,C23H29FN2O,391.21561,"51.0230 47.35
77.0383 445.25
78.0417 25.57
79.0540 621.68
80.0572 25.27
95.0489 107.39
103.0540 485.11
104.0572 20.58
105.0445 253.55
105.0697 999.00
106.0729 93.61
369.2151 38.96",51.0230:47.35 77.0383:445.25 78.0417:25.57 79.0540:621.68 80.0572:25.27 95.0489:107.39 103.0540:485.11 104.0572:20.58 105.0445:253.55 105.0697:999.00 106.0729:93.61 369.2151:38.96,[M+Na]+,NCE=110% 86eV,NIST,0,0,0,0
m-Fluorobutyrylfentanyl,BSGQPGPNNBBEEQ-UHFFFAOYSA-N,,C23H29FN2O,391.21561,"188.1433 999.00
189.1468 239.86
190.1504 36.16
210.1256 27.17
321.1735 229.07
369.2210 29.87
369.2360 43.76",188.1433:999.00 189.1468:239.86 190.1504:36.16 210.1256:27.17 321.1735:229.07 369.2210:29.87 369.2360:43.76,[M+Na]+,NCE=35%,NIST,0,0,0,0
4-Methoxybutyrylfentanyl,FNVSEQCPMXWQKG-UHFFFAOYSA-N,,C24H32N2O2,381.2537,"188.1429 274.73
260.1639 7.09
311.2110 11.59
381.2527 999.00",188.1429:274.73 260.1639:7.09 311.2110:11.59 381.2527:999.00,[M+H]+,NCE=25% 19eV,NIST,0,0,0,0
4-Methoxybutyrylfentanyl,FNVSEQCPMXWQKG-UHFFFAOYSA-N,,C24H32N2O2,381.2537,"105.0694 16.08
134.0960 7.79
146.0958 2.80
160.1115 2.10
186.1273 3.30
188.1428 999.00
194.1170 5.29
260.1638 28.17
311.2109 33.77
381.2526 832.17",105.0694:16.08 134.0960:7.79 146.0958:2.80 160.1115:2.10 186.1273:3.30 188.1428:999.00 194.1170:5.29 260.1638:28.17 311.2109:33.77 381.2526:832.17,[M+H]+,NCE=30% 22eV,NIST,0,0,0,0
4-Methoxybutyrylfentanyl,FNVSEQCPMXWQKG-UHFFFAOYSA-N,,C24H32N2O2,381.2537,"71.0488 1.80
84.0804 2.60
105.0693 46.15
134.0960 13.69
146.0960 9.09
160.1116 3.00
162.0910 4.50
176.1064 1.40
186.1272 3.60
188.1428 999.00
194.1169 6.49
234.1481 1.70
260.1637 29.87
311.2109 22.68
381.2525 226.87",71.0488:1.80 84.0804:2.60 105.0693:46.15 134.0960:13.69 146.0960:9.09 160.1116:3.00 162.0910:4.50 176.1064:1.40 186.1272:3.60 188.1428:999.00 194.1169:6.49 234.1481:1.70 260.1637:29.87 311.2109:22.68 381.2525:226.87,[M+H]+,NCE=35% 26eV,NIST,0,0,0,0
4-Methoxybutyrylfentanyl,FNVSEQCPMXWQKG-UHFFFAOYSA-N,,C24H32N2O2,381.2537,"71.0487 3.80
84.0803 5.69
105.0694 119.78
134.0960 19.28
146.0960 16.08
160.1116 4.60
162.0909 11.19
176.1064 2.30
186.1272 5.59
188.1428 999.00
194.1169 8.39
219.1488 1.90
260.1637 27.37
311.2109 12.39
381.2525 64.24",71.0487:3.80 84.0803:5.69 105.0694:119.78 134.0960:19.28 146.0960:16.08 160.1116:4.60 162.0909:11.19 176.1064:2.30 186.1272:5.59 188.1428:999.00 194.1169:8.39 219.1488:1.90 260.1637:27.37 311.2109:12.39 381.2525:64.24,[M+H]+,NCE=40% 30eV,NIST,0,0,0,0
4-Methoxybutyrylfentanyl,FNVSEQCPMXWQKG-UHFFFAOYSA-N,,C24H32N2O2,381.2537,"71.0487 5.59
79.0538 1.20
84.0803 11.89
103.0538 1.40
105.0694 289.61
117.0695 1.50
120.0803 2.30
124.0752 2.30
132.0802 2.30
134.0960 30.57
146.0960 27.77
160.1117 5.79
162.0909 21.18
176.1064 5.00
186.1274 6.19
188.1429 999.00
194.1169 10.69
219.1486 2.70
260.1638 26.17
311.2109 5.99
381.2524 18.88",71.0487:5.59 79.0538:1.20 84.0803:11.89 103.0538:1.40 105.0694:289.61 117.0695:1.50 120.0803:2.30 124.0752:2.30 132.0802:2.30 134.0960:30.57 146.0960:27.77 160.1117:5.79 162.0909:21.18 176.1064:5.00 186.1274:6.19 188.1429:999.00 194.1169:10.69 219.1486:2.70 260.1638:26.17 311.2109:5.99 381.2524:18.88,[M+H]+,NCE=45% 34eV,NIST,0,0,0,0
4-Methoxybutyrylfentanyl,FNVSEQCPMXWQKG-UHFFFAOYSA-N,,C24H32N2O2,381.2537,"55.0540 1.90
69.0695 3.00
71.0487 7.49
77.0382 1.80
79.0538 6.59
84.0803 22.98
91.0537 3.00
103.0537 5.49
105.0694 619.68
117.0694 3.90
120.0802 6.19
124.0752 6.39
132.0803 5.99
134.0960 37.66
146.0960 44.26
160.1116 7.99
162.0909 40.06
176.1065 8.59
186.1273 10.39
188.1428 999.00
194.1170 10.69
219.1489 3.20
260.1638 19.58
311.2110 3.40
381.2529 4.60",55.0540:1.90 69.0695:3.00 71.0487:7.49 77.0382:1.80 79.0538:6.59 84.0803:22.98 91.0537:3.00 103.0537:5.49 105.0694:619.68 117.0694:3.90 120.0802:6.19 124.0752:6.39 132.0803:5.99 134.0960:37.66 146.0960:44.26 160.1116:7.99 162.0909:40.06 176.1065:8.59 186.1273:10.39 188.1428:999.00 194.1170:10.69 219.1489:3.20 260.1638:19.58 311.2110:3.40 381.2529:4.60,[M+H]+,NCE=50% 38eV,NIST,0,0,0,0
4-Methoxybutyrylfentanyl,FNVSEQCPMXWQKG-UHFFFAOYSA-N,,C24H32N2O2,381.2537,"55.0541 5.09
56.0493 2.90
67.0539 2.90
69.0695 6.89
71.0487 6.79
77.0381 7.39
79.0538 23.08
84.0803 26.17
91.0537 6.29
103.0538 18.88
105.0694 999.00
117.0694 7.89
119.0850 1.90
120.0804 10.69
124.0753 10.79
130.0646 2.60
132.0804 9.09
134.0960 29.57
146.0960 34.07
160.1116 4.60
162.0909 36.56
176.1065 10.59
186.1273 9.79
188.1429 403.30
194.1171 4.70
260.1639 3.10",55.0541:5.09 56.0493:2.90 67.0539:2.90 69.0695:6.89 71.0487:6.79 77.0381:7.39 79.0538:23.08 84.0803:26.17 91.0537:6.29 103.0538:18.88 105.0694:999.00 117.0694:7.89 119.0850:1.90 120.0804:10.69 124.0753:10.79 130.0646:2.60 132.0804:9.09 134.0960:29.57 146.0960:34.07 160.1116:4.60 162.0909:36.56 176.1065:10.59 186.1273:9.79 188.1429:403.30 194.1171:4.70 260.1639:3.10,[M+H]+,NCE=60% 45eV,NIST,0,0,0,0
4-Methoxybutyrylfentanyl,FNVSEQCPMXWQKG-UHFFFAOYSA-N,,C24H32N2O2,381.2537,"51.0228 1.80
55.0540 6.99
56.0493 3.00
67.0539 2.60
69.0695 4.70
71.0487 1.60
77.0381 26.27
79.0538 70.73
84.0803 13.79
91.0537 7.39
95.0487 6.99
103.0538 59.44
105.0443 16.88
105.0694 999.00
115.0537 2.90
117.0568 3.00
117.0694 7.49
119.0725 1.40
120.0803 8.39
124.0753 8.19
130.0647 7.39
131.0725 5.69
132.0805 7.09
134.0595 2.20
134.0960 10.89
146.0960 13.09
147.0674 4.30
162.0909 17.78
176.1064 7.49
186.1271 4.90
188.1429 57.54",51.0228:1.80 55.0540:6.99 56.0493:3.00 67.0539:2.60 69.0695:4.70 71.0487:1.60 77.0381:26.27 79.0538:70.73 84.0803:13.79 91.0537:7.39 95.0487:6.99 103.0538:59.44 105.0443:16.88 105.0694:999.00 115.0537:2.90 117.0568:3.00 117.0694:7.49 119.0725:1.40 120.0803:8.39 124.0753:8.19 130.0647:7.39 131.0725:5.69 132.0805:7.09 134.0595:2.20 134.0960:10.89 146.0960:13.09 147.0674:4.30 162.0909:17.78 176.1064:7.49 186.1271:4.90 188.1429:57.54,[M+H]+,NCE=75% 57eV,NIST,0,0,0,0
4-Methoxybutyrylfentanyl,FNVSEQCPMXWQKG-UHFFFAOYSA-N,,C24H32N2O2,381.2537,"51.0226 9.59
53.0383 2.70
55.0539 9.99
56.0492 3.60
67.0538 2.80
69.0694 1.30
77.0381 83.62
79.0537 184.91
84.0803 8.09
91.0537 11.59
92.0490 1.90
93.0568 4.60
95.0486 19.78
103.0538 156.54
105.0443 57.44
105.0694 999.00
115.0538 4.10
117.0568 5.19
117.0693 8.59
118.0647 2.30
119.0724 3.90
120.0803 6.59
124.0752 6.79
130.0646 11.69
131.0725 6.29
132.0804 4.90
134.0597 3.40
134.0961 3.50
144.0803 1.90
146.0961 4.90
147.0676 5.99
162.0910 7.09
176.1069 3.80
188.1431 9.19",51.0226:9.59 53.0383:2.70 55.0539:9.99 56.0492:3.60 67.0538:2.80 69.0694:1.30 77.0381:83.62 79.0537:184.91 84.0803:8.09 91.0537:11.59 92.0490:1.90 93.0568:4.60 95.0486:19.78 103.0538:156.54 105.0443:57.44 105.0694:999.00 115.0538:4.10 117.0568:5.19 117.0693:8.59 118.0647:2.30 119.0724:3.90 120.0803:6.59 124.0752:6.79 130.0646:11.69 131.0725:6.29 132.0804:4.90 134.0597:3.40 134.0961:3.50 144.0803:1.90 146.0961:4.90 147.0676:5.99 162.0910:7.09 176.1069:3.80 188.1431:9.19,[M+H]+,NCE=90% 68eV,NIST,0,0,0,0
4-Methoxybutyrylfentanyl,FNVSEQCPMXWQKG-UHFFFAOYSA-N,,C24H32N2O2,381.2537,"50.0149 4.10
51.0226 44.06
53.0384 12.29
55.0539 13.39
56.0492 4.30
65.0383 4.50
77.0364 3.60
77.0381 324.77
79.0538 497.30
91.0537 24.78
92.0490 2.20
93.0568 11.49
95.0486 76.72
102.0459 5.09
103.0537 399.30
104.0616 2.10
105.0443 226.57
105.0694 999.00
109.0518 2.40
115.0538 11.99
117.0568 10.49
117.0694 9.39
118.0647 9.39
119.0726 6.39
130.0647 20.88
131.0726 6.69
132.0439 2.10
146.0598 2.90
147.0676 4.00
381.2414 2.20",50.0149:4.10 51.0226:44.06 53.0384:12.29 55.0539:13.39 56.0492:4.30 65.0383:4.50 77.0364:3.60 77.0381:324.77 79.0538:497.30 91.0537:24.78 92.0490:2.20 93.0568:11.49 95.0486:76.72 102.0459:5.09 103.0537:399.30 104.0616:2.10 105.0443:226.57 105.0694:999.00 109.0518:2.40 115.0538:11.99 117.0568:10.49 117.0694:9.39 118.0647:9.39 119.0726:6.39 130.0647:20.88 131.0726:6.69 132.0439:2.10 146.0598:2.90 147.0676:4.00 381.2414:2.20,[M+H]+,NCE=110% 83eV,NIST,0,0,0,0
4-Methoxybutyrylfentanyl,FNVSEQCPMXWQKG-UHFFFAOYSA-N,,C24H32N2O2,381.2537,"50.0149 28.77
51.0226 164.44
53.0383 32.37
55.0539 19.08
56.0491 3.80
65.0382 14.89
77.0381 999.00
78.0459 4.80
79.0537 918.58
81.0568 4.00
91.0538 56.14
92.0252 4.10
93.0568 22.38
95.0486 228.07
102.0459 16.88
103.0537 718.58
104.0616 7.39
105.0442 657.74
105.0694 765.33
109.0519 2.20
115.0538 22.38
117.0569 16.08
117.0696 6.99
118.0646 24.98
125.6674 2.90
130.0647 41.56
132.0442 2.30
146.0598 3.60",50.0149:28.77 51.0226:164.44 53.0383:32.37 55.0539:19.08 56.0491:3.80 65.0382:14.89 77.0381:999.00 78.0459:4.80 79.0537:918.58 81.0568:4.00 91.0538:56.14 92.0252:4.10 93.0568:22.38 95.0486:228.07 102.0459:16.88 103.0537:718.58 104.0616:7.39 105.0442:657.74 105.0694:765.33 109.0519:2.20 115.0538:22.38 117.0569:16.08 117.0696:6.99 118.0646:24.98 125.6674:2.90 130.0647:41.56 132.0442:2.30 146.0598:3.60,[M+H]+,NCE=130% 99eV,NIST,0,0,0,0
4-Methoxybutyrylfentanyl,FNVSEQCPMXWQKG-UHFFFAOYSA-N,,C24H32N2O2,381.2537,"50.0150 56.84
51.0217 25.37
51.0229 283.62
53.0384 28.77
55.0541 3.80
63.0227 2.80
65.0020 3.40
65.0383 22.28
77.0363 14.99
77.0381 999.00
78.0461 15.78
79.0538 441.56
80.0491 15.28
91.0538 43.76
93.0568 12.99
95.0486 217.08
102.0459 17.38
103.0537 317.78
105.0442 621.78
105.0694 124.48
115.0539 13.89
117.0568 12.99
118.0646 17.28
130.0648 18.08",50.0150:56.84 51.0217:25.37 51.0229:283.62 53.0384:28.77 55.0541:3.80 63.0227:2.80 65.0020:3.40 65.0383:22.28 77.0363:14.99 77.0381:999.00 78.0461:15.78 79.0538:441.56 80.0491:15.28 91.0538:43.76 93.0568:12.99 95.0486:217.08 102.0459:17.38 103.0537:317.78 105.0442:621.78 105.0694:124.48 115.0539:13.89 117.0568:12.99 118.0646:17.28 130.0648:18.08,[M+H]+,NCE=160% 122eV,NIST,0,0,0,0
4-Methoxybutyrylfentanyl,FNVSEQCPMXWQKG-UHFFFAOYSA-N,,C24H32N2O2,381.2537,"134.0960 6.59
146.0960 14.19
162.0909 8.19
186.1273 8.89
188.1429 999.00
194.1169 2.90
204.1376 4.90
234.1485 5.69
258.1842 3.10
260.1638 62.94
311.2110 55.74",134.0960:6.59 146.0960:14.19 162.0909:8.19 186.1273:8.89 188.1429:999.00 194.1169:2.90 204.1376:4.90 234.1485:5.69 258.1842:3.10 260.1638:62.94 311.2110:55.74,[M+H]+,NCE=35%,NIST,0,0,0,0
4-Methoxybutyrylfentanyl,FNVSEQCPMXWQKG-UHFFFAOYSA-N,,C24H32N2O2,188.1434,"69.0695 1.30
84.0803 5.19
91.0537 1.00
105.0694 135.46
120.0803 2.00
132.0803 1.70
134.0960 5.09
146.0960 7.79
186.1275 2.30
187.1306 5.29
188.1429 999.00",69.0695:1.30 84.0803:5.19 91.0537:1.00 105.0694:135.46 120.0803:2.00 132.0803:1.70 134.0960:5.09 146.0960:7.79 186.1275:2.30 187.1306:5.29 188.1429:999.00,[M+H-C11H15NO2]+,NCE=40% 15eV,NIST,0,0,0,0
4-Methoxybutyrylfentanyl,FNVSEQCPMXWQKG-UHFFFAOYSA-N,,C24H32N2O2,188.1434,"55.0541 1.00
69.0694 3.20
79.0538 1.30
84.0803 8.39
91.0537 2.30
103.0537 1.00
105.0694 203.80
117.0694 1.30
120.0803 4.20
132.0804 3.80
134.0960 6.09
146.0960 7.89
186.1275 4.50
187.1305 4.70
188.1429 999.00",55.0541:1.00 69.0694:3.20 79.0538:1.30 84.0803:8.39 91.0537:2.30 103.0537:1.00 105.0694:203.80 117.0694:1.30 120.0803:4.20 132.0804:3.80 134.0960:6.09 146.0960:7.89 186.1275:4.50 187.1305:4.70 188.1429:999.00,[M+H-C11H15NO2]+,NCE=45% 16eV,NIST,0,0,0,0
4-Methoxybutyrylfentanyl,FNVSEQCPMXWQKG-UHFFFAOYSA-N,,C24H32N2O2,188.1434,"55.0539 1.90
69.0695 7.19
79.0538 2.70
84.0803 12.59
91.0537 4.20
103.0538 2.40
105.0694 288.31
117.0694 2.50
120.0803 9.39
129.0694 1.60
130.0647 1.30
132.0804 7.79
134.0960 7.59
146.0960 8.39
186.1275 8.29
187.1305 4.50
188.1429 999.00",55.0539:1.90 69.0695:7.19 79.0538:2.70 84.0803:12.59 91.0537:4.20 103.0538:2.40 105.0694:288.31 117.0694:2.50 120.0803:9.39 129.0694:1.60 130.0647:1.30 132.0804:7.79 134.0960:7.59 146.0960:8.39 186.1275:8.29 187.1305:4.50 188.1429:999.00,[M+H-C11H15NO2]+,NCE=50% 18eV,NIST,0,0,0,0
4-Methoxybutyrylfentanyl,FNVSEQCPMXWQKG-UHFFFAOYSA-N,,C24H32N2O2,188.1434,"55.0539 4.70
56.0492 2.50
67.0539 2.10
69.0695 24.78
77.0381 2.60
79.0538 12.79
82.0647 1.10
84.0803 26.17
91.0537 15.48
96.0803 2.60
97.0882 2.30
103.0538 12.79
105.0694 599.30
115.0538 2.30
117.0568 3.60
117.0695 6.49
118.0646 1.50
119.0725 2.20
120.0803 32.87
129.0695 5.59
130.0647 6.09
131.0726 2.90
132.0804 25.77
134.0960 12.79
143.0851 1.60
145.0881 1.30
146.0960 11.59
160.1116 1.90
184.1116 2.60
185.1152 1.10
186.1274 25.37
187.1302 3.80
188.1429 999.00",55.0539:4.70 56.0492:2.50 67.0539:2.10 69.0695:24.78 77.0381:2.60 79.0538:12.79 82.0647:1.10 84.0803:26.17 91.0537:15.48 96.0803:2.60 97.0882:2.30 103.0538:12.79 105.0694:599.30 115.0538:2.30 117.0568:3.60 117.0695:6.49 118.0646:1.50 119.0725:2.20 120.0803:32.87 129.0695:5.59 130.0647:6.09 131.0726:2.90 132.0804:25.77 134.0960:12.79 143.0851:1.60 145.0881:1.30 146.0960:11.59 160.1116:1.90 184.1116:2.60 185.1152:1.10 186.1274:25.37 187.1302:3.80 188.1429:999.00,[M+H-C11H15NO2]+,NCE=60% 22eV,NIST,0,0,0,0
4-Methoxybutyrylfentanyl,FNVSEQCPMXWQKG-UHFFFAOYSA-N,,C24H32N2O2,188.1434,"55.0539 9.89
56.0491 5.79
67.0538 5.09
68.0491 2.10
69.0695 55.64
70.0647 2.40
77.0381 15.68
79.0538 65.83
82.0646 4.30
84.0803 34.87
91.0538 53.05
93.0694 4.50
95.0487 3.80
96.0803 5.29
97.0882 3.90
103.0538 65.73
104.0491 1.40
104.0616 3.00
105.0694 999.00
110.0959 1.70
115.0538 11.39
117.0569 24.38
117.0694 14.79
118.0647 6.29
119.0725 8.79
119.0851 1.50
120.0803 78.82
128.0616 3.00
129.0695 12.29
130.0647 26.57
131.0725 6.69
131.0851 1.20
132.0804 56.24
134.0960 14.09
141.0695 1.90
143.0726 1.30
143.0851 2.50
144.0804 6.79
145.0882 4.80
146.0960 11.49
158.0960 3.10
160.1116 2.50
184.1116 11.69
185.1152 1.20
186.1273 44.96
187.1307 1.70
188.1429 520.08",55.0539:9.89 56.0491:5.79 67.0538:5.09 68.0491:2.10 69.0695:55.64 70.0647:2.40 77.0381:15.68 79.0538:65.83 82.0646:4.30 84.0803:34.87 91.0538:53.05 93.0694:4.50 95.0487:3.80 96.0803:5.29 97.0882:3.90 103.0538:65.73 104.0491:1.40 104.0616:3.00 105.0694:999.00 110.0959:1.70 115.0538:11.39 117.0569:24.38 117.0694:14.79 118.0647:6.29 119.0725:8.79 119.0851:1.50 120.0803:78.82 128.0616:3.00 129.0695:12.29 130.0647:26.57 131.0725:6.69 131.0851:1.20 132.0804:56.24 134.0960:14.09 141.0695:1.90 143.0726:1.30 143.0851:2.50 144.0804:6.79 145.0882:4.80 146.0960:11.49 158.0960:3.10 160.1116:2.50 184.1116:11.69 185.1152:1.20 186.1273:44.96 187.1307:1.70 188.1429:520.08,[M+H-C11H15NO2]+,NCE=75% 28eV,NIST,0,0,0,0
4-Methoxybutyrylfentanyl,FNVSEQCPMXWQKG-UHFFFAOYSA-N,,C24H32N2O2,188.1434,"51.0227 2.40
53.0384 2.90
55.0539 11.79
56.0491 7.29
65.0383 2.80
67.0538 8.69
68.0491 4.50
69.0695 51.55
70.0648 2.70
77.0381 61.34
79.0538 175.92
82.0647 6.39
84.0803 22.78
91.0538 115.28
93.0694 10.19
95.0487 14.89
96.0803 7.99
97.0881 2.80
102.0459 2.30
103.0538 186.71
104.0491 2.80
104.0617 10.79
105.0444 43.36
105.0694 999.00
110.0959 2.30
115.0538 28.77
117.0569 64.14
117.0694 19.58
118.0647 12.59
119.0725 13.49
120.0803 82.22
128.0616 7.39
129.0695 13.59
130.0647 60.24
131.0725 10.79
131.0850 1.50
132.0804 53.45
134.0960 7.89
141.0695 2.70
143.0726 3.40
143.0851 2.20
144.0804 16.08
145.0882 6.09
146.0960 7.09
156.0804 1.80
158.0960 6.49
160.1116 1.40
170.0960 1.80
184.1116 17.18
186.1273 34.97
188.1429 149.85",51.0227:2.40 53.0384:2.90 55.0539:11.79 56.0491:7.29 65.0383:2.80 67.0538:8.69 68.0491:4.50 69.0695:51.55 70.0648:2.70 77.0381:61.34 79.0538:175.92 82.0647:6.39 84.0803:22.78 91.0538:115.28 93.0694:10.19 95.0487:14.89 96.0803:7.99 97.0881:2.80 102.0459:2.30 103.0538:186.71 104.0491:2.80 104.0617:10.79 105.0444:43.36 105.0694:999.00 110.0959:2.30 115.0538:28.77 117.0569:64.14 117.0694:19.58 118.0647:12.59 119.0725:13.49 120.0803:82.22 128.0616:7.39 129.0695:13.59 130.0647:60.24 131.0725:10.79 131.0850:1.50 132.0804:53.45 134.0960:7.89 141.0695:2.70 143.0726:3.40 143.0851:2.20 144.0804:16.08 145.0882:6.09 146.0960:7.09 156.0804:1.80 158.0960:6.49 160.1116:1.40 170.0960:1.80 184.1116:17.18 186.1273:34.97 188.1429:149.85,[M+H-C11H15NO2]+,NCE=90% 33eV,NIST,0,0,0,0
